SITUAÇÃO;MARCA/MODELO;ANO/MODELO;COR;DATA DES;MES;
ROUBADO;FIAT/FIORINO 1.4 FLEX;2018;BRANCO;16/01/2020 02:00:00;JANEIRO
ROUBADO;FIAT/FIORINO 1.4 FLEX;2018;BRANCO;16/01/2020 02:00:00;JANEIRO
FURTADO;VW/POLO 1.6 SPORTLINE;2007;PRATA;16/01/2020 03:00:00;JANEIRO
FURTADO;FIAT/MOBI LIKE;2017;BRANCO;16/01/2020 05:00:00;JANEIRO
FURTADO;M.B./M.BENZ L 1513;1980;BRANCO;16/01/2020 06:00:00;JANEIRO
FURTADO;VW/GOL 1.0 GIV;2011;PRETA;16/01/2020 08:00:00;JANEIRO
FURTADO;VW/GOL 1.0 GIV;2011;PRETA;16/01/2020 08:00:00;JANEIRO
FURTADO;VW/NOVO VOYAGE 1.0;0;PRATA;16/01/2020 08:00:00;JANEIRO
FURTADO;REB/KARMANN CARAVAN;1983;BRANCO;16/01/2020 12:00:00;JANEIRO
FURTADO;RENAULT/SANDERO EXPR 16;2017;BRANCO;16/01/2020 12:00:00;JANEIRO
FURTADO;VW/NOVO VOYAGE TL MBV;2018;BRANCO;16/01/2020 12:00:00;JANEIRO
FURTADO;FIAT/SIENA ELX FLEX;2008;PRATA;16/01/2020 17:00:00;JANEIRO
ROUBADO;I/VW SPACEFOX TREND GII;0;PRETA;16/01/2020 18:13:00;JANEIRO
ROUBADO;FORD/KA FLEX;2010;VERMELHO;16/01/2020 18:50:00;JANEIRO
FURTADO;I/VW JETTA 2.0;2013;BRANCO;16/01/2020 19:00:00;JANEIRO
FURTADO;I/VW JETTA 2.0;2013;BRANCO;16/01/2020 19:00:00;JANEIRO
FURTADO;PEUGEOT/207HB XR;2011;PRATA;16/01/2020 19:30:00;JANEIRO
ROUBADO;FORD/FIESTA HA 1.6L SE;2015;PRATA;16/01/2020 20:00:00;JANEIRO
ROUBADO;I/RENAULT CLIO CAM 10H3P;0;VERMELHO;16/01/2020 22:20:00;JANEIRO
ROUBADO;I/RENAULT CLIO CAM 10H3P;0;VERMELHO;16/01/2020 22:20:00;JANEIRO
FURTADO;VW/GOL SPECIAL;1999;CINZA;17/01/2020 00:00:00;JANEIRO
FURTADO;FIAT/UNO CS IE;1994;VERDE;17/01/2020 00:00:00;JANEIRO
FURTADO;M.B./M.BENZ L 1313;1984;VERMELHO;17/01/2020 00:00:00;JANEIRO
FURTADO;VW/SAVEIRO CD CROSS MA;2018;CINZA;17/01/2020 00:00:00;JANEIRO
FURTADO;GM/MONZA HI TECH;1994;AZUL;17/01/2020 06:00:00;JANEIRO
FURTADO;FIAT/PALIO EX FLEX;2006;VERMELHO;17/01/2020 06:00:00;JANEIRO
ROUBADO;I/KIA UK2500 HD SC;2015;BRANCO;17/01/2020 07:40:00;JANEIRO
FURTADO;CHEVROLET/CRUZE LTZ NB;2014;PRATA;17/01/2020 08:00:00;JANEIRO
ROUBADO;HYUNDAI/HB20 1.0M COMFOR;2015;PRETA;17/01/2020 08:00:00;JANEIRO
FURTADO;HYUNDAI/HB20 1.0M COMFOR;2017;PRETA;17/01/2020 11:00:00;JANEIRO
FURTADO;FORD/ESCORT 1.8I GL;1994;CINZA;17/01/2020 12:00:00;JANEIRO
FURTADO;FORD/ESCORT 1.8I GL;1994;CINZA;17/01/2020 12:00:00;JANEIRO
FURTADO;FORD/ESCORT 1.8I GL;1994;CINZA;17/01/2020 12:00:00;JANEIRO
FURTADO;GM/MERIVA MAXX;2010;BRANCO;17/01/2020 12:00:00;JANEIRO
FURTADO;YAMAHA/FAZER YS250 LE;2010;PRETA;17/01/2020 12:00:00;JANEIRO
FURTADO;I/PEUGEOT 307 16 PR PK;2009;PRETA;17/01/2020 12:00:00;JANEIRO
ROUBADO;M.BENZ/ATEGO 1719;2017;BRANCO;17/01/2020 12:00:00;JANEIRO
ROUBADO;HONDA/CG150 FAN ESDI;2015;PRETA;17/01/2020 17:10:00;JANEIRO
